article,actual_time,expected_median,expected_mean,expected_trimmed_mean,expected_geometric_mean,expected_interquartile_mean
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,31.35,28.44,26.76,26.76,19.670471265096413,19.53
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,16.26,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,48.04,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,24.53,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,12.06,29.18,258.54777777777775,34.54333333333333,100.74567114051501,21.55
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,93.92,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,22.79,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,13.0,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,38.26,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,13.59,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,15.32,28.44,26.76,26.76,19.670471265096413,19.53
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,87.03,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,16.79,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,288.26,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,173.71,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,37.26,28.14,6.850869565217389,29.007142857142856,27.014772381830998,20.868333333333336
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,21.26,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,33.04,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,7.92,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,20.36,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
7c499765e7bed88cd0380df8cba3d896fc294e976601726d1c2fdeeb4b38efcd,28.24,18.26,47.55521186440677,21.226697674418602,21.333577715437894,21.332016129032255
